cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_103,0,0,0,52900,10880,56580,13600,0,0,0,sky130_fd_sc_hd__decap_8,3.240068803533891e-12,0.0
FILLER_0_111,0,0,0,56580,10880,57040,13600,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_113,0,1,0,57500,10880,63020,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_125,0,1,0,63020,10880,68540,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_137,0,0,0,68540,10880,69920,13600,0,0,0,sky130_fd_sc_hd__decap_3,3.24003692799002e-12,0.0
FILLER_0_141,0,1,0,70380,10880,75900,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_15,0,1,0,12420,10880,17940,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_153,0,1,0,75900,10880,81420,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_165,0,0,0,81420,10880,82800,13600,0,0,0,sky130_fd_sc_hd__decap_3,3.24003692799002e-12,0.0
FILLER_0_169,0,1,0,83260,10880,88780,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_181,0,0,0,88780,10880,92460,13600,0,0,0,sky130_fd_sc_hd__decap_8,3.240068803533891e-12,0.0
FILLER_0_189,0,0,0,92460,10880,92920,13600,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_27,0,0,0,17940,10880,18400,13600,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_29,0,1,0,18860,10880,24380,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_3,0,1,0,6900,10880,12420,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_41,0,1,0,24380,10880,29900,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_53,0,0,0,29900,10880,31280,13600,0,0,0,sky130_fd_sc_hd__decap_3,3.24003692799002e-12,0.0
FILLER_0_57,0,1,0,31740,10880,37260,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_69,0,1,0,37260,10880,42780,13600,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_0_81,0,0,0,42780,10880,44160,13600,0,0,0,sky130_fd_sc_hd__decap_3,3.24003692799002e-12,0.0
FILLER_0_85,0,0,0,44620,10880,48300,13600,0,0,0,sky130_fd_sc_hd__decap_8,3.240068803533891e-12,0.0
FILLER_0_93,0,0,0,48300,10880,49220,13600,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_10_109,0,1,0,55660,38080,61180,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_121,0,1,0,61180,38080,66700,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_133,0,0,0,66700,38080,69460,40800,0,0,0,sky130_fd_sc_hd__decap_6,3.2400560099482556e-12,0.0
FILLER_10_139,0,0,0,69460,38080,69920,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_10_141,0,1,0,70380,38080,75900,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_15,0,1,0,12420,38080,17940,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_153,0,1,0,75900,38080,81420,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_165,0,1,0,81420,38080,86940,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_177,0,1,0,86940,38080,92460,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_189,0,0,0,92460,38080,92920,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_10_27,0,0,0,17940,38080,18400,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_10_29,0,1,0,18860,38080,24380,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_3,0,1,0,6900,38080,12420,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_41,0,1,0,24380,38080,29900,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_53,0,1,0,29900,38080,35420,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_65,0,1,0,35420,38080,40940,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_77,0,0,0,40940,38080,43700,40800,0,0,0,sky130_fd_sc_hd__decap_6,3.2400560099482556e-12,0.0
FILLER_10_83,0,0,0,43700,38080,44160,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_10_85,0,1,0,44620,38080,50140,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_10_97,0,1,0,50140,38080,55660,40800,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_105,0,0,0,53820,40800,56580,43520,0,0,0,sky130_fd_sc_hd__decap_6,3.2400560099482556e-12,0.0
FILLER_11_111,0,0,0,56580,40800,57040,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_11_113,0,1,0,57500,40800,63020,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_125,0,1,0,63020,40800,68540,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_137,0,1,0,68540,40800,74060,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_149,0,1,0,74060,40800,79580,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_15,0,1,0,12420,40800,17940,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
FILLER_11_161,0,0,0,79580,40800,82340,43520,0,0,0,sky130_fd_sc_hd__decap_6,3.2400560099482556e-12,0.0
FILLER_11_167,0,0,0,82340,40800,82800,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_11_169,0,1,0,83260,40800,88780,43520,0,0,0,sky130_ef_sc_hd__decap_12,0.0,0.0
