libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
s8iom0s8_com_bus_slice_1um,-1,197965000,-1,-1,-1,-1
s8iom0s8_com_bus_slice_tied_1um,-1,197965000,-1,-1,-1,-1
sky130_ef_sc_hd__decap_12,-1,15014400,-1,-1,-1,-1
sky130_ef_sc_hd__fakediode_2,-1,2502400,-1,-1,-1,-1
sky130_ef_sc_hd__fill_8,-1,10009600,-1,-1,-1,-1
sky130_ef_sc_hd__fill_12,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2o_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2o_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2o_4,-1,20019200,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2oi_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2oi_2,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a2bb2oi_4,-1,26275200,-1,-1,-1,-1
sky130_fd_sc_hd__a21bo_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a21bo_2,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a21bo_4,-1,16265600,-1,-1,-1,-1
sky130_fd_sc_hd__a21boi_0,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__a21boi_1,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__a21boi_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a21boi_4,-1,18768000,-1,-1,-1,-1
sky130_fd_sc_hd__a21o_1,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__a21o_2,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a21o_4,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a21oi_1,-1,5004800,-1,-1,-1,-1
sky130_fd_sc_hd__a21oi_2,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a21oi_4,-1,16265600,-1,-1,-1,-1
sky130_fd_sc_hd__a22o_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a22o_2,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a22o_4,-1,17516800,-1,-1,-1,-1
sky130_fd_sc_hd__a22oi_1,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__a22oi_2,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__a22oi_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a31o_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a31o_2,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a31o_4,-1,17516800,-1,-1,-1,-1
sky130_fd_sc_hd__a31oi_1,-1,6256000,-1,-1,-1,-1
sky130_fd_sc_hd__a31oi_2,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__a31oi_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a32o_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a32o_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a32o_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a32oi_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a32oi_2,-1,16265600,-1,-1,-1,-1
sky130_fd_sc_hd__a32oi_4,-1,27526400,-1,-1,-1,-1
sky130_fd_sc_hd__a41o_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a41o_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a41o_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a41oi_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a41oi_2,-1,16265600,-1,-1,-1,-1
sky130_fd_sc_hd__a41oi_4,-1,27526400,-1,-1,-1,-1
sky130_fd_sc_hd__a211o_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a211o_2,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a211o_4,-1,17516800,-1,-1,-1,-1
sky130_fd_sc_hd__a211oi_1,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__a211oi_2,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__a211oi_4,-1,20019200,-1,-1,-1,-1
sky130_fd_sc_hd__a221o_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a221o_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a221o_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a221oi_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a221oi_2,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a221oi_4,-1,26275200,-1,-1,-1,-1
sky130_fd_sc_hd__a222oi_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a311o_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a311o_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a311o_4,-1,20019200,-1,-1,-1,-1
sky130_fd_sc_hd__a311oi_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a311oi_2,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a311oi_4,-1,26275200,-1,-1,-1,-1
sky130_fd_sc_hd__a2111o_1,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__a2111o_2,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__a2111o_4,-1,21270400,-1,-1,-1,-1
sky130_fd_sc_hd__a2111oi_0,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__a2111oi_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__a2111oi_2,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__a2111oi_4,-1,27526400,-1,-1,-1,-1
sky130_fd_sc_hd__and2_0,-1,6256000,-1,-1,-1,-1
sky130_fd_sc_hd__and2_1,-1,6256000,-1,-1,-1,-1
sky130_fd_sc_hd__and2_2,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__and2_4,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__and2b_1,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__and2b_2,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__and2b_4,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__and3_1,-1,6256000,-1,-1,-1,-1
sky130_fd_sc_hd__and3_2,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__and3_4,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__and3b_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__and3b_2,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__and3b_4,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__and4_1,-1,8758400,-1,-1,-1,-1
sky130_fd_sc_hd__and4_2,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__and4_4,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__and4b_1,-1,10009600,-1,-1,-1,-1
sky130_fd_sc_hd__and4b_2,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__and4b_4,-1,13763200,-1,-1,-1,-1
sky130_fd_sc_hd__and4bb_1,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__and4bb_2,-1,12512000,-1,-1,-1,-1
sky130_fd_sc_hd__and4bb_4,-1,16265600,-1,-1,-1,-1
sky130_fd_sc_hd__buf_1,-1,3753600,-1,-1,-1,-1
sky130_fd_sc_hd__buf_2,-1,5004800,-1,-1,-1,-1
sky130_fd_sc_hd__buf_4,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__buf_6,-1,11260800,-1,-1,-1,-1
sky130_fd_sc_hd__buf_8,-1,15014400,-1,-1,-1,-1
sky130_fd_sc_hd__buf_12,-1,20019200,-1,-1,-1,-1
sky130_fd_sc_hd__buf_16,-1,27526400,-1,-1,-1,-1
sky130_fd_sc_hd__bufbuf_8,-1,18768000,-1,-1,-1,-1
sky130_fd_sc_hd__bufbuf_16,-1,32531200,-1,-1,-1,-1
sky130_fd_sc_hd__bufinv_8,-1,17516800,-1,-1,-1,-1
sky130_fd_sc_hd__bufinv_16,-1,30028800,-1,-1,-1,-1
sky130_fd_sc_hd__clkbuf_1,-1,3753600,-1,-1,-1,-1
sky130_fd_sc_hd__clkbuf_2,-1,5004800,-1,-1,-1,-1
sky130_fd_sc_hd__clkbuf_4,-1,7507200,-1,-1,-1,-1
sky130_fd_sc_hd__clkbuf_8,-1,13763200,-1,-1,-1,-1
sky130_fd_sc_hd__clkbuf_16,-1,25024000,-1,-1,-1,-1
sky130_fd_sc_hd__clkdlybuf4s15_1,-1,10009600,-1,-1,-1,-1
