net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
A,15380,-1,1,2.320999871517713e-15,1.1359962224960327,0.4381634294986725,30.87440299987793
B,7530,-1,1,2.320999871517713e-15,0.7797911167144775,0.0,17.81412124633789
S,12320,-1,1,2.320999871517713e-15,0.8409972190856934,0.4381634294986725,27.13713264465332
Y,7150,-1,0,3.340000134406211e-17,0.7099463939666748,0.0,13.517915725708008
G1,2960,-1,1,1.5430000035855196e-15,0.37319087982177734,0.0401572622358799,27.4560546875
G2,2980,-1,1,1.5470000107998096e-15,0.2885463535785675,0.09901155531406403,27.108421325683594
S_n,2290,-1,1,1.5599999548369134e-15,0.37261345982551575,0.0,26.27651596069336
net1,31660,-1,1,1.4919999380731013e-15,2.6829533874988556,0.9533001184463501,62.47939205169678
net2,37580,-1,1,1.4919999380731013e-15,5.661113500595093,0.0,69.35946655273438
net3,43435,-1,2,3.950000083150027e-15,3.7342579066753387,1.092468935996294,89.2497034072876
net4,39300,-1,1,2.320999871517713e-15,4.259985446929932,0.0,71.26973724365234
