src,tar,src_type,tar_type,is_net,arc_delay
U_AND1/A,U_AND1/X,pin,pin,0,1.1821277290380294e-10
U_AND1/B,U_AND1/X,pin,pin,0,1.3074331894902258e-10
U_AND2/A,U_AND2/X,pin,pin,0,1.1805437183376455e-10
U_AND2/B,U_AND2/X,pin,pin,0,1.4245365997922477e-10
U_INV/A,U_INV/Y,pin,pin,0,4.224259136931252e-11
U_OR/A,U_OR/X,pin,pin,0,2.0899174058008896e-10
U_OR/B,U_OR/X,pin,pin,0,1.9114597404890077e-10
input1/A,input1/X,pin,pin,0,2.2369507635122687e-10
input2/A,input2/X,pin,pin,0,2.2369507635122687e-10
input3/A,input3/X,pin,pin,0,2.419181521773339e-10
output4/A,output4/X,pin,pin,0,2.190802400603431e-10
U_AND1/X,U_OR/A,pin,pin,1,0.0
U_AND2/X,U_OR/B,pin,pin,1,0.0
U_INV/Y,U_AND1/B,pin,pin,1,0.0
input1/X,U_AND1/A,pin,pin,1,0.0
input2/X,U_AND2/A,pin,pin,1,0.0
input3/X,U_INV/A,pin,pin,1,0.0
input3/X,U_AND2/B,pin,pin,1,0.0
U_OR/X,output4/A,pin,pin,1,0.0
