pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
U_AND1/A,48635,44872,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_AND1,net1,3.3362330259523176e-11,-7.499390553000751e-10,2.3730883924599766e-10,2.2340430894107755e-10,1.4919999380731013e-15
U_AND1/B,49465,44720,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_AND1,S_n,2.6298286465165077e-11,-8.262766582056713e-10,2.817425737156043e-10,2.872113658014541e-10,1.5599999548369134e-15
U_AND1/X,50303,44793,0,-1,0,0,1,1.5839600139323784e-13,1.5104929529385913e-09,0,U_AND1,G1,3.6579090451072105e-11,-8.262766582056713e-10,3.8113018296925816e-10,4.179546708726889e-10,-1
U_AND2/A,46335,47607,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_AND2,net2,3.3362330259523176e-11,-7.319348460654851e-10,2.3730883924599766e-10,2.2340430894107755e-10,1.4919999380731013e-15
U_AND2/B,47165,47760,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_AND2,net3,5.6380154017654505e-11,-7.724298423106291e-10,2.555319011943169e-10,2.3949997540739787e-10,1.5599999548369134e-15
U_AND2/X,48003,47686,0,-1,0,0,1,1.5839600139323784e-13,1.5104929529385913e-09,0,U_AND2,G2,3.6614003495749614e-11,-7.724298423106291e-10,3.639407109012893e-10,3.8195363538662264e-10,-1
U_INV/A,47405,44715,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_INV,net3,5.6380154017654505e-11,-8.262766026945201e-10,2.555319011943169e-10,2.3949997540739787e-10,2.3900000224339954e-15
U_INV/Y,47821,44763,0,-1,0,0,1,1.8128399714538446e-13,1.4983499996290561e-09,0,U_INV,S_n,2.6298286465165077e-11,-8.262766582056713e-10,2.817425737156043e-10,2.872113658014541e-10,-1
U_OR/A,51282,47915,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_OR,G1,3.6579090451072105e-11,-8.262766582056713e-10,3.8113018296925816e-10,4.179546708726889e-10,1.5430000035855196e-15
U_OR/B,50462,47915,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,U_OR,G2,3.6614003495749614e-11,-7.724298423106291e-10,3.639407109012893e-10,3.8195363538662264e-10,1.5470000107998096e-15
U_OR/X,52075,47616,0,-1,0,0,1,1.6480499148534278e-13,1.5039328671306862e-09,0,U_OR,net4,3.691969646668625e-11,-8.262766026945201e-10,4.645143436565746e-10,6.269463836972022e-10,-1
input1/A,48585,15122,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,input1,A,1.8287609274136862e-11,-7.499390553000751e-10,1.3613757690600359e-11,8.224138384194113e-12,2.320999871517713e-15
input1/X,51644,15131,0,-1,0,0,1,1.5198699774860575e-13,1.5088009730490626e-09,0,input1,net1,3.3362330259523176e-11,-7.499390553000751e-10,2.3730883924599766e-10,2.2340430894107755e-10,-1
input2/A,7185,50157,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,input2,B,1.8287609274136862e-11,-7.319348460654851e-10,1.3613757690600359e-11,8.224138384194113e-12,2.320999871517713e-15
input2/X,10244,50148,0,-1,0,0,1,1.5198699774860575e-13,1.5088009730490626e-09,0,input2,net2,3.3362330259523176e-11,-7.319348460654851e-10,2.3730883924599766e-10,2.2340430894107755e-10,-1
input3/A,49505,12077,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,input3,S,1.8287609274136862e-11,-8.262766582056713e-10,1.3613757690600359e-11,8.224138384194113e-12,2.320999871517713e-15
input3/X,52564,12068,0,-1,0,0,1,1.5198699774860575e-13,1.5088009730490626e-09,0,input3,net3,5.6380154017654505e-11,-8.262766026945201e-10,2.555319011943169e-10,2.3949997540739787e-10,-1
output4/A,89525,50157,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,output4,net4,3.691969646668625e-11,-8.262766026945201e-10,4.645143436565746e-10,6.269463836972022e-10,2.320999871517713e-15
output4/X,92584,50148,0,-1,0,0,1,1.5198699774860575e-13,1.5088009730490626e-09,0,output4,Y,1.9992093050480442e-11,-8.262766582056713e-10,6.826781362434531e-10,8.460266376353331e-10,-1
